window,target,model,feature,importance,rank
test_2026_q2,bioenergy,ridge,bioenergy_rolling_mean_168h,1.091549651546117,17
test_2026_q2,bioenergy,ridge,is_morning_ramp,1.0808536257011654,18
test_2026_q2,bioenergy,ridge,bioenergy_rolling_max_24h,1.0612964108338574,19
test_2026_q2,bioenergy,ridge,is_weekend,0.9449756196051367,20
test_2026_q2,bioenergy,ridge,bioenergy_lag_72h,0.8489046516272345,21
test_2026_q2,bioenergy,ridge,bioenergy_lag_48h,0.5037976512985577,22
test_2026_q2,bioenergy,ridge,bioenergy_lag_336h,0.3596520751063772,23
test_2026_q2,bioenergy,ridge,is_peak_hour,0.3208498921986417,24
test_2026_q2,bioenergy,ridge,day_of_year_sin,0.3096601103668572,25
test_2026_q2,bioenergy,ridge,is_evening_peak,0.06992875993503314,26
test_2026_q2,bioenergy,ridge,day_of_year_cos,0.06828298557979179,27
