window,target,model,feature,importance,rank
test_2026_q2,price,xgboost,price_rolling_range_24h,0.002463664161041379,19
test_2026_q2,price,xgboost,is_peak_hour,0.0024635111913084984,20
test_2026_q2,price,xgboost,price_lag_72h,0.002435671631246805,21
test_2026_q2,price,xgboost,day_of_year_cos,0.0023801361676305532,22
test_2026_q2,price,xgboost,price_rolling_mean_168h,0.0022899890318512917,23
test_2026_q2,price,xgboost,day_of_year_sin,0.0020745997317135334,24
test_2026_q2,price,xgboost,consumption_rolling_mean_168h,0.001999608473852277,25
test_2026_q2,price,xgboost,total_production_rolling_mean_168h,0.001985608134418726,26
test_2026_q2,price,xgboost,day_of_year,0.0019687237218022346,27
test_2026_q2,price,xgboost,price_rolling_std_24h,0.0019473209977149963,28
test_2026_q2,price,xgboost,consumption_rolling_max_24h,0.0018417949322611094,29
test_2026_q2,price,xgboost,total_production_lag_1h,0.0016987925628200173,30
test_2026_q2,price,xgboost,forecast_total_production_mwh,0.001696910709142685,31
test_2026_q2,price,xgboost,price_lag_48h,0.001680069137364626,32
test_2026_q2,price,xgboost,solar_lag_24h_to_168h,0.0016459660837426782,33
test_2026_q2,price,xgboost,total_production_rolling_min_24h,0.0016430007526651025,34
test_2026_q2,price,xgboost,month,0.0015371254412457347,35
test_2026_q2,price,xgboost,is_evening_peak,0.0014835868496447802,36
test_2026_q2,price,xgboost,total_production_lag_168h,0.0014491500332951546,37
test_2026_q2,price,xgboost,consumption_lag_1h,0.0014183430466800928,38
test_2026_q2,price,xgboost,total_production_lag_1h_to_24h,0.0013942767400294542,39
test_2026_q2,price,xgboost,residual_demand_lag_24h_to_168h,0.0013812066754326224,40
test_2026_q2,price,xgboost,consumption_rolling_std_24h,0.001364963361993432,41
test_2026_q2,price,xgboost,consumption_lag_72h,0.0013536564074456692,42
test_2026_q2,price,xgboost,residual_demand_lag_24h,0.001322362688370049,43
test_2026_q2,price,xgboost,wind_lag_24h,0.0013207260053604841,44
test_2026_q2,price,xgboost,consumption_lag_48h,0.0013016213197261095,45
test_2026_q2,price,xgboost,forecast_residual_demand_mwh,0.0012946092756465077,46
test_2026_q2,price,xgboost,consumption_lag_1h_to_24h,0.0012763316044583917,47
test_2026_q2,price,xgboost,forecast_consumption_mwh,0.0012643018271774054,48
test_2026_q2,price,xgboost,price_lag_24h_to_168h,0.0012566541554406285,49
test_2026_q2,price,xgboost,consumption_lag_24h,0.0012277407804504037,50
test_2026_q2,price,xgboost,total_production_rolling_mean_24h,0.0012242250377312303,51
test_2026_q2,price,xgboost,consumption_rolling_min_24h,0.0012240995420143008,52
test_2026_q2,price,xgboost,variable_renewable_lag_24h,0.0012228225823491812,53
test_2026_q2,price,xgboost,consumption_rolling_mean_24h,0.0012086014030501246,54
test_2026_q2,price,xgboost,total_production_rolling_max_24h,0.00120620708912611,55
test_2026_q2,price,xgboost,total_production_lag_336h,0.0011980574345216155,56
test_2026_q2,price,xgboost,residual_demand_lag_168h,0.0011926545994356275,57
test_2026_q2,price,xgboost,consumption_lag_168h,0.0011540643172338605,58
test_2026_q2,price,xgboost,consumption_rolling_range_24h,0.0011145464377477765,59
test_2026_q2,price,xgboost,consumption_lag_336h,0.0011141813592985272,60
test_2026_q2,price,xgboost,consumption_lag_24h_to_168h,0.0011072970228269696,61
test_2026_q2,price,xgboost,forecast_supply_demand_gap_mwh,0.0010869642719626427,62
test_2026_q2,price,xgboost,total_production_lag_72h,0.0010728405322879553,63
test_2026_q2,price,xgboost,total_production_lag_24h,0.0009683685493655503,64
test_2026_q2,price,xgboost,variable_renewable_lag_168h,0.000965254264883697,65
test_2026_q2,price,xgboost,wind_lag_168h,0.0009624212398193777,66
test_2026_q2,price,xgboost,total_production_lag_48h,0.0009415140375494957,67
test_2026_q2,price,xgboost,total_production_lag_24h_to_168h,0.0009229431743733585,68
test_2026_q2,price,xgboost,total_production_rolling_range_24h,0.0009159659966826439,69
test_2026_q2,price,xgboost,price_lag_168h_to_336h,0.0009114670683629811,70
test_2026_q2,price,xgboost,variable_renewable_lag_24h_to_168h,0.0008792871376499534,71
test_2026_q2,price,xgboost,total_production_rolling_std_24h,0.000877342012245208,72
test_2026_q2,price,xgboost,wind_lag_24h_to_168h,0.0008407575660385191,73
